,Links,Region
50,https://www.mycareersfuture.sg/job/business-development-manager-ntt-data-singapore-105a93544021314cba7a5b0130fefe67,Central
51,https://www.mycareersfuture.sg/job/data-analyst-digital-service-tuv-sud-asia-pacific-44a3df99cbbb2c24439e5990aa61eb94,South
52,https://www.mycareersfuture.sg/job/occupancy-planner-cbre-cdffff112b984373a2225814f1473251,Central
53,https://www.mycareersfuture.sg/job/manager-business-intelligence-tripadvisor-singapore-4c1a41ddc434e1872e3b11ecb71dddf4,Central
54,https://www.mycareersfuture.sg/job/business-intelligence-archivist-virtusa-singapore-e37fc502c838bf6d3244b368c568bf96,East
55,https://www.mycareersfuture.sg/job/analyst-business-intelligence-go-jek-singapore-72f542e8846bf2d249771da80bac2f1b,Central
56,https://www.mycareersfuture.sg/job/salesforce-administrator-cme-group-singapore-operations-075d2ebc2b68ab48ca4ce8da3717e995,Central
57,https://www.mycareersfuture.sg/job/ux-ui-designer-homage-b0b8e3ccc5320dc129a5c93d4756c865,East
58,https://www.mycareersfuture.sg/job/sharepoint-developer-asiacloud-solutions-d5427b68a6053e9f9b248c87d1c52b57,Islandwide
59,https://www.mycareersfuture.sg/job/software-developer-d378c3ab39f730391a53fb313dea6584,Islandwide
60,https://www.mycareersfuture.sg/job/head-business-intelligence-automation-foodpanda-singapore-cc0ea55328bfdd4d0e3d471672d04b9d,Central
61,https://www.mycareersfuture.sg/job/senior-business-intelligence-analyst-alphatech-business-solutions-7ee6ed8f32c717448a1638cbb0309ecb,East
62,https://www.mycareersfuture.sg/job/business-intelligence-analyst-alphatech-business-solutions-fc3b2195c5e8634dfc1c234ccf9ce59d,East
63,https://www.mycareersfuture.sg/job/adobe-google-analytics-developer-alphatech-business-solutions-69c540111bfedcc15658bebc84f57294,East
64,https://www.mycareersfuture.sg/job/reporting-analyst-teledirect-d4428c6b7317d98f6e145787d07a02e3,East
65,https://www.mycareersfuture.sg/job/service-specialist-converge-asia-b834c0f55862d2ecc4cca9bf263d622e,West
66,https://www.mycareersfuture.sg/job/software-engineer-enhanzcom-a911e4ac636cfb844032ef05ae07449a,South
67,https://www.mycareersfuture.sg/job/principal-global-supply-chain-amazon-asia-pacific-holdings-987023c2c8fc150b89c17548ec9fb807,Central
68,https://www.mycareersfuture.sg/job/regional-customer-marketing-manager-coopervision-singapore-d6a33011dd48b365d0cecc70d4122bc1,Central
69,https://www.mycareersfuture.sg/job/global-cds-operations-onetouch-data-analyst-bcd-travel-asia-pacific-833075bdb02a130f90002b8c39ac0810,Central
70,https://www.mycareersfuture.sg/job/senior-consultant-data-analytics-unimas-consulting-solutions-08c8375d6f7ad44caf92e1b9564ff1a3,Central
71,https://www.mycareersfuture.sg/job/business-intelligence-project-manager-ninja-logistics-6611743684bbf98822a65431d5ed87f4,South
72,https://www.mycareersfuture.sg/job/big-data-solutions-architect-amazon-web-services-singapore-072d3b5dccde78c866d62d26daa474a6,Central
73,https://www.mycareersfuture.sg/job/associate-consultant-cpm-consulting-06aa3305ee3ca1eef1074a4ea29e33f3,Central
74,https://www.mycareersfuture.sg/job/senior-datawarehouse-consultant-apar-innosys-22b99c14c5682996d485aad953c2ecd7,Islandwide
75,https://www.mycareersfuture.sg/job/data-science-lead-consultant-cpm-consulting-d26dc1e1fc80fe7249dd35be5ef90920,Central
76,https://www.mycareersfuture.sg/job/assistant-manager-samsung-sds-asia-pacific-f0e491ef2e9fc6d0181670bbd0a33a3e,South
77,https://www.mycareersfuture.sg/job/junior-merchandise-planner-zalora-south-east-asia-d3014351e10c6915de4f47929bf3987c,Central
78,https://www.mycareersfuture.sg/job/business-intelligence-analyst-ikano-af1be843517da71341671dd1364da3a0,East
79,https://www.mycareersfuture.sg/job/apac-head-enterprise-operations-amazon-web-services-singapore-187d5c99069de676d46f65927ed09791,Central
80,https://www.mycareersfuture.sg/job/senior-sales-marketing-manager-midea-electric-trading-4f2cbc6f290c65ca085512cfa2b97773,Central
81,https://www.mycareersfuture.sg/job/regional-cargo-business-analyst-qatar-airways-group-cc3ec3442a9eec90e84b8a2c28b43db9,Central
82,https://www.mycareersfuture.sg/job/senior-datawarehouse-consultant-apar-technologies-e4c6f8589f88e909930de502e26deaa1,"South, East, Central"
83,https://www.mycareersfuture.sg/job/data-team-lead-moneysmart-singapore-60fe01e025ae30049a54a259e9098230,South
84,https://www.mycareersfuture.sg/job/senior-ms-business-intelligence-software-engineer-anotech-energy-singapore-ebc13da7ad5d32eb8d2edbbb19c10184,Islandwide
85,https://www.mycareersfuture.sg/job/senior-business-intelligence-analyst-zalora-south-east-asia-d3880ec5f16bf7fd9c0f98d690b8a961,Central
86,https://www.mycareersfuture.sg/job/ms-business-intelligence-software-engineer-anotech-energy-singapore-ef9b04f9c377d5589862c9652e1e3eac,Islandwide
87,https://www.mycareersfuture.sg/job/senior-business-intelligence-analyst-zalora-south-east-asia-3c8b0c28a9ada582b8ff658a49d45db6,Central
88,https://www.mycareersfuture.sg/job/business-intelligence-analyst-developer-d2x-expertise-2932601cd80992237465b77cd6bcf9a8,Central
89,https://www.mycareersfuture.sg/job/business-intelligence-software-engineer-adecco-personnel-d8237f5e150b32026f0608dc0668cf92,South
90,https://www.mycareersfuture.sg/job/customer-experience-manager-regional-operative-unit-south-east-asia-south-korea-boehringer-ingelheim-animal-health-singapore-51f9771f563953e91bf4509996c638c1,East
91,https://www.mycareersfuture.sg/job/assistant-manager-technical-manager-geospatial-analytics-singapore-land-authority-999fa8e8fd93c9898f35e97f87ebbfbc,Full Time
92,https://www.mycareersfuture.sg/job/senior-data-analyst-streetsine-singapore-3baa45f938b74a6660a619998e4a9852,Central
93,https://www.mycareersfuture.sg/job/merchandise-planning-associate-manager-zalora-south-east-asia-07d648b32a1ae036bd613feb4b549b7e,Central
94,https://www.mycareersfuture.sg/job/marketing-manager-e1528e620ccf72bca7e0b538766b5153,Central
95,https://www.mycareersfuture.sg/job/business-intelligence-analyst-hays-specialist-recruitment-6a9c0bad4c4e7aee1b479f1e57b47149,Central
96,https://www.mycareersfuture.sg/job/data-science-consultant-backoffice-associates-asia-863283daf30fe9edb3d9c6959f2299f2,Central
97,https://www.mycareersfuture.sg/job/data-science-consultant-backoffice-associates-asia-32de68c45c9756377411d997a31402c9,Central
98,https://www.mycareersfuture.sg/job/data-engineer-fixed-mobile-2215e8a8684aaa50c17489883ae473b0,Central
99,https://www.mycareersfuture.sg/job/digital-insights-manager-5a88ee4de4e3b9ac96c5d64615be209f,Islandwide
